id,title,genres,subscription_price,release_date,country
8639,Reactive upward-trending portal,Action,$16.22,1984-08-08,JP
8640,Cross-group actuating product,Sci-Fi,$5.72,2015-04-03,UK
8641,Horizontal transitional firmware,Comedy,$19.37,1990-12-22,ES
8642,Business-focused didactic artificial intelligence,Romance|Drama|Horror,$15.31,1980-04-24,ES
8643,Realigned empowering analyzer,Horror|Drama|Romance,$13.68,1996-11-11,ES
8644,Self-enabling reciprocal encoding,Action|Drama|Thriller,$18.73,2015-10-29,DE
8645,Optional tangible database,Action|Comedy,$14.23,2002-06-14,JP
8646,Decentralized national instruction set,Horror,$14.18,2015-07-22,JP
8647,Profound heuristic initiative,Sci-Fi|Thriller|Romance,$16.71,2013-01-18,US
8648,Networked eco-centric instruction set,Thriller|Horror|Drama,$6.8,2018-02-17,UK
8649,Multi-channeled optimizing website,Action|Horror,$11.33,1992-09-20,ES
8650,Enterprise-wide tertiary paradigm,Horror|Comedy|Thriller,$10.25,2004-10-01,UK
8651,Centralized mission-critical analyzer,Romance|Horror|Action,$5.1,invalid-date,DE
8652,Open-source uniform website,Thriller|Sci-Fi|Romance,$18.08,1980-06-10,JP
8653,Visionary upward-trending knowledge user,,$5.87,2011-06-16,US
8654,Sharable even-keeled groupware,Action,$9.64,2004-08-08,ES
8655,Configurable transitional concept,Drama|Romance,$6.11,2006-08-01,JP
8656,Triple-buffered tertiary leverage,Sci-Fi,$5.96,1986-08-12,US
8657,Up-sized stable toolset,Drama|Sci-Fi|Comedy,$8.57,2010-09-19,US
8658,Mandatory 4thgeneration throughput,Thriller|Romance,$6.09,1990-02-12,UK
8659,Front-line optimal moratorium,,$8.7,2006-05-09,ES
8660,Polarized explicit Internet solution,Horror|Action,$7.64,2013-01-21,JP
8661,Upgradable global hierarchy,Horror|Thriller,$19.27,2008-09-22,ES
8662,Total composite ability,Horror|Sci-Fi|Drama,$17.04,1989-01-21,US
8663,Fundamental radical support,,$9.26,2003-05-25,JP
8664,Reverse-engineered object-oriented data-warehouse,Thriller|Comedy,$17.31,2021-02-21,US
8665,Expanded disintermediate attitude,Drama|Romance|Sci-Fi,$18.44,2023-08-29,ES
8666,Managed zero-defect attitude,Horror,$14.01,2002-11-20,ES
8667,Assimilated web-enabled complexity,Romance|Drama|Thriller,$11.19,2019-07-26,FR
8668,Multi-layered real-time extranet,Action|Romance|Thriller,$10.14,invalid-date,JP
8669,Right-sized homogeneous focus group,Thriller|Comedy,$13.79,1986-09-14,US
8670,Fully-configurable needs-based interface,Horror|Sci-Fi|Comedy,$17.19,2005-08-08,UK
8671,Open-architected bottom-line productivity,Drama|Sci-Fi|Action,$5.08,2002-10-27,DE
8672,Reactive fresh-thinking system engine,Drama|Horror,$12.13,1987-11-20,FR
8673,Object-based interactive algorithm,Comedy,$19.1,2007-02-07,UK
8674,Expanded optimal infrastructure,Horror|Comedy|Thriller,$6.19,2014-02-19,DE
8675,Operative background capacity,Thriller,$16.09,1998-01-19,DE
8676,Up-sized responsive policy,Action,$17.92,2015-11-13,US
8677,Profound homogeneous middleware,Drama|Romance,$16.77,invalid-date,ES
8678,Integrated foreground attitude,Romance|Horror|Comedy,null,1998-04-21,JP
8679,Stand-alone methodical portal,Drama,$11.51,2017-05-19,UK
8680,Exclusive user-facing functionalities,Sci-Fi|Action,$10.18,2020-04-07,ES
8681,Right-sized 24hour approach,Thriller|Drama|Comedy,$5.26,2013-05-13,JP
8682,Innovative foreground superstructure,Thriller,$10.55,1997-04-20,FR
8683,Re-engineered background architecture,Romance,null,2011-06-23,JP
8684,Networked responsive implementation,Romance,$6.02,2016-05-08,JP
8685,Virtual empowering database,Thriller,$9.26,2011-11-10,DE
8686,Multi-channeled composite project,Thriller|Romance|Sci-Fi,$8.31,2014-08-06,JP
8687,Self-enabling reciprocal success,Romance,$18.23,2009-11-13,FR
8688,Reverse-engineered hybrid interface,Thriller,$5.34,2001-12-21,UK
8689,Persistent impactful attitude,Drama|Sci-Fi,$5.22,2008-10-21,JP
8690,Compatible responsive challenge,Action|Thriller|Drama,$5.13,2006-06-13,UK
8691,Self-enabling motivating software,Romance|Horror,$17.99,1988-05-30,DE
8692,Public-key global strategy,,$11.38,2021-12-31,JP
8693,Distributed clear-thinking alliance,Drama|Sci-Fi|Comedy,$10.47,1987-06-15,UK
8694,Optimized needs-based concept,Sci-Fi|Romance,$19.66,1994-05-07,UK
8695,Polarized intangible implementation,Sci-Fi,$18.6,1998-12-28,ES
8696,Enterprise-wide demand-driven installation,Thriller|Horror,$9.26,2014-10-23,US
8697,Synergized 24/7 success,Horror,$11.21,2009-02-25,UK
8698,Inverse bottom-line groupware,Sci-Fi,$15.46,1999-07-28,UK
8699,Managed real-time software,Comedy|Romance|Action,$10.11,2002-07-03,DE
8700,User-centric tangible Graphic Interface,Thriller|Action,$18.1,invalid-date,FR
8701,Optimized asymmetric forecast,Drama,$15.12,1995-03-14,FR
8702,Ameliorated content-based encoding,Drama,$15.11,2022-01-15,UK
8703,Enterprise-wide upward-trending moratorium,Sci-Fi|Thriller,$11.96,2017-08-10,US
8704,De-engineered optimizing budgetary management,Drama|Sci-Fi|Action,$5.18,1996-07-13,FR
8705,Synergized global product,Drama|Thriller|Sci-Fi,$18.55,2023-01-06,JP
8706,Innovative directional matrix,Comedy|Romance|Drama,$5.22,2011-04-14,FR
8707,Advanced exuding moderator,Thriller|Horror|Drama,$14.69,1996-09-26,JP
8708,Down-sized object-oriented instruction set,Comedy|Drama|Thriller,$16.59,2006-03-20,FR
8709,Ameliorated mobile alliance,,$10.31,2000-07-25,ES
8710,Vision-oriented local Graphical User Interface,Drama,$14.26,1993-05-14,US
8711,Up-sized multimedia workforce,Comedy|Drama|Sci-Fi,$8.86,1987-11-03,ES
8712,Face-to-face radical interface,Thriller,$7.75,1991-05-08,DE
8713,Business-focused client-server solution,Romance|Drama|Thriller,$7.45,1991-05-23,UK
8714,Configurable maximized model,Thriller,$15.15,1990-10-11,ES
8715,Optimized client-server definition,Romance|Comedy,$18.32,2020-07-01,FR
8716,Profit-focused interactive portal,Action,$19.4,2003-08-25,DE
8717,Front-line zero administration workforce,Horror|Action|Romance,$6.09,2012-02-20,UK
8718,Balanced bifurcated moderator,Comedy|Sci-Fi|Action,$5.45,1991-02-14,UK
8719,Realigned content-based projection,Action,$7.4,1987-07-01,ES
8720,Assimilated heuristic contingency,Sci-Fi|Thriller|Horror,$14.02,1998-03-30,US
8721,Mandatory actuating adapter,Thriller,$18.35,1987-08-01,US
8722,Realigned logistical algorithm,Drama|Horror,$16.83,1983-10-30,US
8723,Profit-focused object-oriented moratorium,Action|Thriller|Romance,$15.18,1985-05-26,FR
8724,Multi-channeled 5thgeneration matrices,Thriller|Comedy,$8.99,2023-03-29,UK
8725,De-engineered leadingedge task-force,Thriller,$7.39,1990-05-23,FR
8726,Assimilated responsive function,Thriller,$9.88,1989-11-20,FR
8727,Fully-configurable homogeneous success,Action|Sci-Fi,$14.93,1987-10-10,DE
8728,Stand-alone 24/7 knowledge user,Comedy|Horror,$14.84,2009-04-13,US
8729,Versatile grid-enabled flexibility,Sci-Fi|Comedy|Action,$6.94,2002-06-03,US
8730,Sharable 6thgeneration project,Drama,$15.44,2002-07-07,UK
8731,Object-based cohesive project,Drama|Action|Romance,null,2017-06-16,DE
8732,Visionary contextually-based conglomeration,Romance|Drama,$15.26,1999-10-24,DE
8733,Stand-alone discrete contingency,Drama|Horror|Thriller,$11.26,2009-08-22,JP
8734,Synergized 3rdgeneration complexity,Thriller|Drama,$15.08,2004-01-10,DE
8735,Decentralized maximized open system,Drama,$10.04,1985-06-14,FR
8736,Sharable intangible infrastructure,Romance|Thriller|Drama,$11.55,2007-03-07,UK
8737,Compatible holistic utilization,Comedy|Horror,$17.37,2003-10-14,ES
8738,Devolved value-added encoding,Comedy,$18.71,1992-09-03,FR
8739,Fully-configurable national application,Action|Drama|Romance,$13.66,2019-09-15,UK
8740,Horizontal zero tolerance implementation,Drama,$12.55,1994-09-07,ES
8741,Monitored responsive contingency,,$7.34,1982-04-27,DE
8742,Adaptive directional leverage,Horror|Drama,$8.25,1994-08-17,JP
8743,Centralized human-resource task-force,Horror|Romance,$12.12,1993-02-12,JP
8744,Multi-layered 3rdgeneration application,Horror|Action,$6.91,2014-10-07,JP
8745,Universal didactic attitude,Horror|Drama|Thriller,$17.81,1982-12-18,FR
8746,Up-sized tertiary flexibility,Drama|Comedy|Sci-Fi,$14.24,invalid-date,DE
8747,Managed attitude-oriented emulation,Sci-Fi,$19.12,2017-12-18,DE
8748,Mandatory background application,Thriller,$19.68,1989-12-05,ES
8749,Total static core,Action|Horror,$6.14,1998-09-18,ES
8750,Multi-lateral intermediate website,Thriller|Romance,$16.01,2023-07-02,US
8751,Automated bifurcated portal,Thriller|Drama|Romance,$18.01,1994-03-30,UK
8752,Synergistic responsive monitoring,Action|Comedy|Romance,null,2004-09-04,JP
8753,Grass-roots demand-driven projection,Comedy,$16.28,1987-08-09,UK
8754,Implemented regional interface,Comedy|Romance|Sci-Fi,$15.8,2011-01-20,DE
8755,Inverse value-added collaboration,Thriller,$12.41,2004-11-12,US
8756,Networked mission-critical product,Action|Comedy|Romance,$6.19,2021-12-21,JP
8757,Ergonomic reciprocal superstructure,Horror,$9.2,2021-07-12,FR
8758,Open-source fault-tolerant standardization,Drama,$16.29,2019-03-23,US
8759,Profit-focused content-based paradigm,,$7.78,1984-09-07,ES
8760,User-centric contextually-based software,Action|Horror|Comedy,$8.15,1991-05-30,DE
8761,Horizontal dedicated methodology,Drama|Thriller|Sci-Fi,$6.06,1990-09-28,UK
8762,Upgradable coherent protocol,Romance|Sci-Fi,$10.31,2009-07-30,DE
8763,Re-engineered grid-enabled definition,Horror|Action|Romance,null,2023-06-25,JP
8764,Managed multi-state collaboration,Thriller|Horror,$6.25,2018-09-13,FR
8765,Multi-channeled uniform knowledgebase,Thriller,$15.55,2006-03-28,US
8766,Adaptive hybrid benchmark,,$11.55,1984-10-07,FR
8767,User-friendly bi-directional paradigm,Action|Comedy|Horror,$11.95,1993-01-08,ES
8768,Intuitive contextually-based capacity,Action|Comedy|Drama,$6.99,1983-05-06,FR
8769,Persistent bandwidth-monitored policy,Comedy,$14.86,2021-10-13,UK
8770,Implemented well-modulated success,Comedy|Romance,$14.61,2017-02-06,US
8771,Organized value-added analyzer,Drama,$5.71,1997-09-23,FR
8772,Ergonomic stable conglomeration,Drama|Romance|Action,$8.47,1992-08-14,US
8773,Organic 3rdgeneration Graphical User Interface,Drama,$11.44,1996-10-25,ES
8774,Face-to-face even-keeled instruction set,Horror,$12.06,invalid-date,DE
8775,Synergistic logistical structure,Action,$6.94,1998-10-01,US
8776,Extended leadingedge emulation,Thriller|Drama|Romance,null,1994-04-26,FR
8777,Profound full-range policy,Horror,$15.86,1991-07-01,US
8778,Visionary bi-directional protocol,Action,$14.0,invalid-date,US
8779,Profit-focused explicit middleware,Drama|Comedy|Action,$8.81,1991-12-13,DE
8780,Phased responsive projection,Comedy|Horror|Sci-Fi,$13.97,2015-07-16,ES
8781,Synergistic multi-tasking standardization,Thriller|Horror|Action,$13.47,2008-05-28,US
8782,Devolved coherent algorithm,Romance|Horror|Thriller,$18.57,1984-01-28,FR
8783,Sharable static conglomeration,Action,$18.5,2013-01-16,UK
8784,Extended didactic groupware,Romance|Drama,$8.58,1985-01-31,JP
8785,Multi-layered human-resource customer loyalty,Sci-Fi|Action,$12.09,1992-06-18,FR
8786,Up-sized actuating conglomeration,Comedy|Horror,$11.11,1983-08-12,UK
8787,Implemented national Internet solution,Sci-Fi|Drama,$17.77,1994-05-27,ES
8788,Managed heuristic service-desk,Action|Horror,$16.55,2020-04-01,UK
8789,De-engineered systemic application,Drama|Romance,null,1997-12-06,JP
8790,Quality-focused systemic open architecture,Horror|Action|Drama,$7.57,2022-01-19,US
8791,Re-contextualized hybrid process improvement,Comedy|Romance,$8.36,1986-09-23,DE
8792,Function-based scalable encryption,Comedy|Action,$10.05,2005-02-11,FR
8793,Exclusive even-keeled knowledge user,Horror,$15.14,1993-05-08,DE
8794,Integrated even-keeled encoding,Comedy|Drama|Thriller,$15.67,1988-09-06,DE
8795,Operative asynchronous Local Area Network,Sci-Fi|Romance,$14.59,1989-01-07,JP
8796,Ergonomic hybrid service-desk,Thriller,$6.51,2004-12-30,JP
8797,Diverse 4thgeneration model,Action|Comedy,$17.39,2016-07-05,ES
8798,Visionary encompassing complexity,Drama,$5.04,2000-10-14,JP
8799,Organic neutral solution,Action,$11.92,2011-07-17,JP
8800,Universal 24hour workforce,Horror|Romance,$16.92,1993-02-04,ES
8801,Managed static service-desk,Thriller|Sci-Fi,$18.16,2019-11-26,UK
8802,Networked stable array,Sci-Fi,$19.78,2008-03-31,US
8803,Ergonomic multi-tasking approach,Action|Horror,$10.07,invalid-date,FR
8804,Multi-lateral solution-oriented help-desk,Romance|Drama|Action,$6.87,2017-11-05,FR
8805,Managed cohesive architecture,Sci-Fi,$6.22,1982-01-31,FR
8806,Open-source multi-tasking adapter,Sci-Fi|Horror|Drama,$12.0,2005-02-27,ES
8807,Virtual stable moratorium,Action|Drama|Comedy,$10.45,2014-01-03,JP
8808,Centralized zero tolerance ability,Thriller|Romance,$8.61,2005-03-31,US
8809,Quality-focused uniform software,Sci-Fi|Action,$7.89,2011-11-01,FR
8810,Balanced foreground concept,Drama,$13.94,1995-03-11,JP
8811,Quality-focused bifurcated alliance,Horror|Romance|Action,$10.53,2011-03-05,DE
8812,Function-based clear-thinking throughput,Comedy|Romance,$11.7,invalid-date,UK
8813,Quality-focused demand-driven algorithm,Comedy|Drama|Sci-Fi,$18.98,2016-06-25,FR
8814,Business-focused interactive standardization,Sci-Fi|Thriller,$18.86,1993-04-01,JP
8815,Implemented local portal,Horror|Romance|Drama,$6.23,1990-05-08,UK
8816,Decentralized mobile architecture,Horror|Action,$18.05,1980-10-29,JP
8817,Compatible methodical firmware,Drama,$16.72,1990-01-16,ES
8818,Phased 24/7 Graphic Interface,Romance|Horror|Comedy,$15.92,1999-02-10,FR
8819,Digitized mission-critical solution,Action,$6.49,2013-03-28,UK
8820,Cross-platform contextually-based matrix,Comedy,$19.47,2001-08-13,UK
8821,Inverse user-facing open architecture,Thriller|Comedy|Romance,$19.73,2013-02-12,UK
8822,Grass-roots bifurcated support,Sci-Fi|Drama|Comedy,$14.55,2001-09-19,ES
8823,Persistent holistic collaboration,Comedy|Sci-Fi|Drama,$12.85,2020-06-16,ES
8824,Up-sized 24/7 installation,Sci-Fi,$6.34,2006-07-18,UK
8825,Realigned solution-oriented middleware,Sci-Fi,$6.18,2007-12-14,FR
8826,Pre-emptive actuating customer loyalty,Comedy,null,2015-10-11,JP
8827,Exclusive secondary approach,Drama|Sci-Fi,$12.02,2006-03-01,UK
8828,Universal client-driven database,Horror|Comedy|Thriller,$14.89,1994-06-20,FR
8829,Managed bandwidth-monitored projection,Sci-Fi|Drama|Romance,$17.64,1984-02-26,FR
8830,Organized composite strategy,Drama,$9.1,2019-01-20,JP
8831,Open-architected global knowledge user,Drama|Horror|Action,$11.19,invalid-date,UK
8832,Optional 24hour pricing structure,Drama|Thriller|Sci-Fi,$5.25,1997-01-07,ES
8833,Business-focused encompassing website,Thriller|Sci-Fi,$10.76,1990-04-28,DE
8834,Expanded upward-trending artificial intelligence,Romance|Thriller,$15.11,2010-07-26,FR
8835,Horizontal 5thgeneration superstructure,Horror|Sci-Fi|Thriller,$8.3,2002-09-19,UK
8836,Persevering 24hour capability,Drama|Romance,$10.5,1991-06-13,DE
8837,Balanced eco-centric system engine,Comedy,$10.47,2003-12-03,JP
8838,Adaptive value-added Graphic Interface,Thriller|Horror|Action,$19.27,1993-07-15,FR
8839,Distributed actuating ability,Horror|Action,$8.35,1992-11-05,DE
8840,Proactive coherent budgetary management,Action,null,2015-01-21,JP
8841,Quality-focused empowering Internet solution,Sci-Fi|Horror|Thriller,$9.9,1994-08-09,ES
8842,Function-based disintermediate solution,Comedy|Romance,$17.42,1994-10-23,UK
8843,Switchable eco-centric paradigm,Drama|Comedy|Action,$12.99,1998-04-02,FR
8844,Secured client-server support,Comedy|Action,$6.11,2005-05-05,DE
8845,Persistent well-modulated framework,Thriller|Romance|Drama,$12.32,2009-06-14,DE
8846,Integrated analyzing frame,Drama,$19.04,2013-04-12,ES
8847,Inverse radical flexibility,Sci-Fi|Horror,$19.57,2016-07-26,FR
8848,Seamless full-range support,Drama,$17.76,2005-06-30,UK
8849,Profound empowering info-mediaries,Horror|Comedy|Thriller,$7.13,1999-10-17,DE
8850,Virtual value-added approach,Thriller|Horror|Sci-Fi,$13.78,2021-03-27,DE
8851,Optimized demand-driven approach,Sci-Fi|Comedy,$11.09,2000-01-30,JP
8852,Multi-lateral discrete intranet,Sci-Fi,$13.52,2008-11-17,JP
8853,Multi-tiered solution-oriented customer loyalty,Comedy,$16.67,2013-02-18,FR
8854,Distributed bottom-line matrix,Romance|Comedy|Drama,$19.33,1997-09-05,UK
8855,Multi-layered interactive conglomeration,Horror|Romance|Sci-Fi,$16.09,2023-04-02,UK
8856,Advanced fresh-thinking application,Comedy|Romance|Thriller,$16.39,1992-08-03,DE
8857,Configurable bandwidth-monitored throughput,Action|Romance|Thriller,$19.74,2010-12-06,FR
8858,Universal well-modulated customer loyalty,Action,$17.57,1983-02-16,UK
8859,Implemented intermediate artificial intelligence,Drama|Comedy,$12.78,2008-11-16,JP
8860,Digitized zero-defect analyzer,,$18.28,1990-09-15,FR
8861,Right-sized optimal application,Sci-Fi|Comedy,$12.54,2003-03-11,UK
8862,Proactive client-server function,Action|Romance,$17.92,2007-07-04,US
8863,Monitored interactive function,Sci-Fi,$11.28,2010-07-26,US
8864,Business-focused motivating task-force,Horror|Thriller|Comedy,$11.18,invalid-date,UK
8865,Enhanced asymmetric access,Drama,$5.89,2020-01-01,ES
8866,Phased tertiary hierarchy,Romance|Drama,$5.77,2000-03-14,US
8867,Assimilated actuating capacity,Romance,$13.92,2017-04-30,FR
8868,Re-engineered fault-tolerant database,Drama,$15.77,1987-03-26,FR
8869,Synchronized regional forecast,Drama,$11.03,1995-12-17,UK
8870,Fully-configurable didactic frame,Sci-Fi|Action,$19.03,1988-08-18,UK
8871,Multi-tiered neutral orchestration,Comedy|Action,$16.26,1991-07-12,ES
8872,Quality-focused zero-defect implementation,Horror|Thriller,$15.77,2016-08-18,DE
8873,Extended national Local Area Network,Action,null,2003-02-04,FR
8874,Team-oriented contextually-based model,Drama,$12.84,2006-09-26,DE
8875,Virtual responsive matrices,Horror,$7.56,2008-09-20,US
8876,Customer-focused bandwidth-monitored analyzer,Horror|Action|Thriller,$13.07,1983-02-04,US
8877,Vision-oriented intermediate service-desk,Drama|Sci-Fi,$13.0,1985-10-30,JP
8878,Devolved discrete Graphic Interface,Horror|Comedy|Thriller,$6.52,2007-09-20,ES
8879,Quality-focused intangible encoding,Sci-Fi|Action|Thriller,$8.87,1996-10-01,UK
8880,Customizable executive knowledgebase,Drama|Sci-Fi,$12.23,1997-06-01,FR
8881,Open-source multi-state model,Horror|Thriller,$16.96,invalid-date,UK
8882,Visionary optimizing secured line,Drama|Horror,$19.4,1994-05-03,DE
8883,De-engineered maximized instruction set,Horror|Action|Sci-Fi,$9.81,1988-09-10,DE
8884,Profound holistic system engine,Drama|Comedy|Thriller,$11.4,1990-01-20,ES
8885,Stand-alone regional groupware,Sci-Fi|Comedy,$11.8,2016-11-05,ES
8886,Organic bandwidth-monitored Local Area Network,Thriller,$10.05,2023-07-01,UK
8887,Business-focused 4thgeneration application,Horror|Comedy,$7.24,2004-05-01,DE
8888,Customer-focused leadingedge architecture,Sci-Fi|Action,$5.38,2020-01-04,FR
8889,Total needs-based firmware,Drama|Romance|Horror,$13.22,1984-06-23,FR
8890,Compatible neutral infrastructure,Action|Comedy,$11.17,2017-01-06,UK
8891,Exclusive well-modulated interface,Thriller|Horror,$7.95,2010-02-21,ES
8892,Triple-buffered incremental portal,Sci-Fi|Drama,$11.7,2007-03-26,JP
8893,De-engineered system-worthy website,Romance,$9.97,2022-10-29,UK
8894,Compatible uniform hub,Drama|Action,$14.45,2014-03-25,DE
8895,Multi-channeled clear-thinking functionalities,Action|Thriller|Sci-Fi,$18.69,1987-04-05,FR
8896,Synergized radical knowledgebase,Horror|Thriller|Sci-Fi,$16.92,2009-11-30,JP
8897,Reverse-engineered modular groupware,Thriller|Drama,$19.12,1984-01-27,JP
8898,Multi-layered transitional hardware,,$12.57,2019-08-31,FR
8899,Pre-emptive didactic challenge,Action|Sci-Fi|Drama,$13.95,2016-02-11,UK
8900,Diverse multi-state service-desk,Romance,$8.11,2009-05-18,UK
8901,Progressive context-sensitive middleware,Action,$12.0,2003-03-03,JP
8902,Front-line leadingedge knowledge user,Thriller|Romance|Drama,$17.79,2014-07-25,US
8903,Business-focused system-worthy Local Area Network,Sci-Fi|Romance,$5.12,2017-11-07,UK
8904,Progressive content-based help-desk,Romance,$9.92,2011-04-18,US
8905,Total next generation portal,,$11.1,2008-04-21,DE
8906,Team-oriented asymmetric array,Comedy,$11.38,2008-04-26,FR
8907,Phased neutral open system,Thriller|Drama,$7.45,invalid-date,US
8908,Customer-focused interactive archive,,$19.16,1989-08-03,UK
8909,Face-to-face 24/7 artificial intelligence,Comedy,$17.39,1992-08-29,ES
8910,Upgradable background migration,Horror|Sci-Fi,$10.93,2017-09-18,ES
8911,Reactive systemic synergy,Horror|Drama|Romance,$17.43,2007-01-14,UK
8912,Fundamental systematic model,Drama,$14.62,1992-08-01,DE
8913,Programmable zero tolerance array,Action|Romance|Thriller,$5.97,2011-06-08,JP
8914,Diverse well-modulated portal,Thriller|Comedy,$18.35,2000-03-21,UK
8915,Upgradable motivating software,Horror,$9.71,2011-01-10,ES
8916,Re-engineered discrete superstructure,Romance|Thriller|Drama,$13.09,2009-07-13,DE
8917,De-engineered dedicated project,Thriller,$10.88,1999-09-03,JP
8918,Re-engineered eco-centric pricing structure,Comedy,$9.48,1990-04-02,US
8919,Versatile real-time concept,Action|Comedy|Horror,$14.42,1985-05-17,US
8920,Total transitional circuit,Thriller,null,2008-11-19,JP
8921,Secured zero tolerance help-desk,Action,$7.71,1995-12-15,US
8922,Pre-emptive mobile hub,Sci-Fi|Drama|Action,$11.4,1994-08-10,ES
8923,Configurable responsive firmware,Horror,$15.45,2015-05-26,JP
8924,Organized human-resource forecast,Sci-Fi|Romance|Thriller,$6.24,2022-06-17,ES
8925,Multi-layered fault-tolerant framework,Romance|Thriller|Drama,$11.13,1980-03-01,UK
8926,Optional 24/7 knowledgebase,Action|Horror|Drama,$15.36,1982-11-22,US
8927,Customizable static open architecture,Romance|Thriller|Drama,$6.79,2006-09-04,FR
8928,Devolved user-facing data-warehouse,Sci-Fi|Comedy,$17.08,invalid-date,US
8929,Adaptive maximized groupware,Sci-Fi|Action,$13.32,2004-09-21,DE
8930,Devolved well-modulated budgetary management,Drama,$9.56,1987-06-02,US
8931,Cloned bi-directional capability,,$12.41,1996-01-14,DE
8932,Re-engineered directional neural-net,Drama,$19.36,1989-10-21,DE
8933,Sharable didactic info-mediaries,Horror|Action|Thriller,$13.5,2013-03-13,JP
8934,Business-focused multimedia superstructure,Horror,null,2021-12-22,UK
8935,Intuitive global function,Sci-Fi|Romance|Thriller,$18.21,2003-02-18,DE
8936,Integrated eco-centric system engine,Drama,$18.14,2019-10-22,UK
8937,Multi-tiered object-oriented flexibility,Romance,$18.23,invalid-date,US
8938,Managed regional benchmark,Romance|Action|Comedy,$17.69,1994-09-09,JP
8939,Quality-focused stable archive,Thriller|Romance|Action,null,2016-06-08,DE
8940,Networked static paradigm,Drama|Horror,$12.57,1998-06-13,FR
8941,Pre-emptive scalable frame,,$16.19,2004-02-16,US
8942,Re-contextualized motivating pricing structure,Comedy|Drama,$12.71,1982-04-14,UK
8943,Enterprise-wide system-worthy structure,Drama|Comedy,$12.2,2013-07-23,JP
8944,Stand-alone bottom-line secured line,Comedy|Sci-Fi|Horror,$8.79,1989-08-30,DE
8945,Proactive methodical adapter,Sci-Fi|Action,$11.52,2001-10-20,US
8946,Configurable optimizing throughput,Romance|Drama,$9.87,2022-05-13,JP
8947,Enhanced needs-based access,Drama,$19.81,1996-12-03,US
8948,Proactive radical algorithm,Action|Drama|Horror,$5.33,2018-05-19,FR
8949,Realigned content-based encoding,Romance|Action,$7.91,invalid-date,UK
8950,Stand-alone homogeneous function,Sci-Fi,$5.96,2022-11-04,UK
8951,Open-architected next generation flexibility,Romance,$18.79,2002-06-21,JP
8952,Reduced 4thgeneration knowledgebase,Horror|Sci-Fi,$6.4,1981-07-18,FR
8953,Pre-emptive bi-directional moderator,Thriller,$10.36,2011-05-12,DE
8954,Up-sized value-added application,Comedy|Action,$14.62,invalid-date,DE
8955,Customer-focused empowering productivity,Drama,null,2010-05-26,JP
8956,Multi-channeled 24/7 benchmark,Drama,$16.57,1993-06-17,ES
8957,Visionary motivating artificial intelligence,Horror|Action,$12.75,1988-04-24,DE
8958,User-friendly directional secured line,,$9.52,2020-03-28,DE
8959,Pre-emptive empowering budgetary management,Romance|Comedy,$9.29,1980-04-09,ES
8960,Switchable coherent budgetary management,Horror|Comedy,$12.64,2020-09-27,ES
8961,Customizable impactful database,Sci-Fi|Drama|Action,$12.18,2019-01-01,UK
8962,Configurable coherent Local Area Network,Action|Comedy,$9.58,invalid-date,US
8963,Object-based impactful customer loyalty,Action|Thriller|Drama,$9.76,1992-02-24,JP
8964,Diverse maximized attitude,Sci-Fi|Horror,$19.8,2002-07-25,FR
8965,Open-source composite algorithm,Comedy|Romance|Thriller,$19.77,invalid-date,JP
8966,Cloned analyzing algorithm,Drama|Romance,$14.23,2013-06-23,UK
8967,Polarized local infrastructure,Horror,$11.91,1992-11-20,UK
8968,Programmable bi-directional definition,Horror|Thriller,$18.49,2008-09-07,JP
8969,Integrated heuristic access,Comedy,$8.41,2012-07-27,US
8970,Centralized leadingedge productivity,Thriller|Action|Sci-Fi,$5.48,2016-06-16,ES
8971,Networked stable forecast,Action,$18.92,2021-01-02,US
8972,Inverse local info-mediaries,Sci-Fi,$13.11,1991-06-02,DE
8973,Devolved national adapter,Drama,$9.72,2018-10-31,JP
8974,Exclusive transitional website,Romance|Thriller,null,1997-12-16,FR
8975,Stand-alone 24/7 software,Romance|Horror,$16.98,2005-01-25,FR
8976,Synergistic user-facing complexity,Sci-Fi,$17.42,2006-02-09,US
8977,Optimized content-based adapter,Horror|Thriller|Drama,$15.36,2020-08-26,US
8978,Enhanced homogeneous challenge,Horror|Sci-Fi|Action,$9.12,2017-10-08,DE
8979,Total local budgetary management,Romance,$13.52,2015-01-23,DE
8980,Secured dedicated frame,Thriller,$12.24,1986-08-12,FR
8981,Down-sized full-range middleware,Comedy|Sci-Fi|Horror,$7.98,2005-05-10,US
8982,Horizontal value-added website,Horror|Comedy|Drama,$7.58,1997-12-11,ES
8983,Secured responsive initiative,Romance,$19.32,2010-06-05,ES
8984,Seamless responsive task-force,Romance|Horror|Thriller,$10.47,2003-04-27,FR
8985,De-engineered reciprocal matrices,Action,$7.64,2008-09-22,UK
8986,Distributed hybrid functionalities,Thriller|Comedy,$5.31,invalid-date,DE
8987,Ameliorated attitude-oriented pricing structure,Drama,$13.04,2012-01-03,FR
8988,Synchronized real-time success,Comedy|Romance|Drama,$11.5,2007-10-17,UK
8989,Organized well-modulated encoding,Drama,$6.13,2009-02-13,US
8990,Grass-roots bifurcated help-desk,Drama,$12.23,2017-12-10,ES
8991,Organic content-based time-frame,Horror|Thriller|Action,$17.12,2013-06-03,FR
8992,Switchable optimizing functionalities,Romance,$9.15,2002-04-05,UK
8993,Synchronized national hub,,$6.77,1984-02-26,DE
8994,Distributed full-range product,Sci-Fi|Horror|Romance,$11.65,1991-08-26,JP
